MediaId,CountryID
470,1
470,16
471,0
472,0
473,1
474,1
475,1
475,36
476,0
477,0
478,1
479,7
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,27
487,16
487,1
488,0
489,1
490,47
490,1
491,0
492,1
493,1
494,1
494,17
495,1
496,0
497,13
497,16
497,1
497,19
498,0
499,0
500,1
501,0
502,0
503,18
504,41
505,0
506,0
507,12
508,0
509,13
509,48
509,22
510,1
511,16
512,1
513,13
513,20
514,1
515,6
516,6
517,43
518,17
519,3
520,6
521,1
522,16
523,28
524,6
525,17
526,1
526,16
527,1
528,29
528,1
528,6
529,3
530,45
531,1
532,49
533,1
534,37
535,44
536,16
537,12
538,17
539,6
540,12
540,31
541,6
541,7
542,3
543,3
544,20
544,48
545,16
546,21
547,0
548,1
549,1
550,0
551,0
552,3
553,0
554,13
555,18
556,21
556,9
557,21
558,12
558,1
559,1
560,1
560,7
561,0
562,1
563,1
564,1
565,1
566,12
566,7
567,1
567,7
568,1
569,1
570,50
571,0
572,0
573,6
573,20
574,1
574,15
575,1
575,15
576,1
577,6
577,12
577,1
578,0
579,13
579,17
579,1
580,1
581,0
582,1
583,1
584,1
584,6
585,1
586,6
586,1
587,0
588,0
589,1
590,6
591,0
592,1
593,1
594,1
595,1
595,7
596,7
596,1
597,1
598,1
599,1
599,6
600,1
601,1
602,1
603,1
604,1
605,6
605,7
605,19
605,1
606,1
607,6
607,1
607,13
607,23
608,1
609,1
609,7
609,16
610,1
610,13
610,23
610,6
611,1
611,6
611,7
611,51
612,1
612,16
613,1
613,31
614,18
615,1
615,31
616,1
617,0
618,52
619,1
620,0
621,1
622,0
623,1
624,0
625,0
626,10
627,0
628,15
629,1
630,0
631,1
632,17
633,0
634,0
635,13
636,53
637,1
637,16
638,0
639,1
640,0
641,0
642,0
643,17
644,1
645,0
646,0
647,0
648,0
649,1
650,0
651,32
652,18
653,0
654,0
655,24
656,24
657,24
658,1
659,0
660,43
661,1
662,13
663,1
664,0
665,19
666,14
666,7
667,0
668,1
669,1
670,19
671,0
672,0
673,0
674,25
675,1
676,17
677,1
678,16
678,1
679,1
680,43
