MediaID,GenreId
252,14
252,20
253,15
253,19
254,13
254,15
254,20
255,25
256,1
256,15
257,13
257,15
258,13
258,15
258,20
259,17
259,13
259,15
260,17
260,13
260,15
261,5
261,2
261,3
262,17
262,15
262,20
263,1
263,38
263,30
264,25
265,17
265,14
266,31
266,2
266,9
267,7
267,2
268,28
268,13
268,14
269,13
269,15
270,25
271,26
272,3
272,11
272,4
273,25
274,5
274,2
274,3
275,10
275,3
276,5
276,2
276,18
277,2
277,9
277,18
278,2
278,3
278,34
279,39
280,26
280,29
280,12
281,8
282,17
282,15
283,13
283,14
283,15
284,1
284,15
285,17
285,20
286,13
286,15
287,25
288,2
288,9
288,10
289,5
289,2
289,18
290,2
290,9
290,3
291,1
291,30
292,31
292,2
293,17
293,13
293,14
294,17
294,15
294,20
295,15
295,21
296,26
296,17
297,6
297,3
297,4
298,36
299,17
299,13
299,15
300,22
300,14
300,15
301,12
301,21
302,26
302,17
302,15
303,1
303,15
304,17
304,35
304,15
305,1
306,28
306,13
306,15
307,13
307,15
308,22
309,40
310,8
311,5
311,7
312,2
312,18
312,3
313,8
314,2
314,9
314,3
315,13
315,14
315,20
316,13
316,15
317,2
317,9
317,10
318,1
318,38
319,1
319,15
320,2
320,9
320,10
321,7
322,2
322,9
322,10
323,2
323,9
323,10
324,10
325,25
326,12
326,17
327,12
327,17
328,26
328,23
329,26
330,13
331,12
331,17
331,23
332,31
332,2
332,24
333,26
333,22
333,23
334,28
334,17
334,35
335,13
335,20
336,13
336,19
337,3
337,34
338,17
338,20
339,31
339,2
340,13
340,14
340,15
341,26
341,23
341,19
342,13
342,14
343,17
344,13
345,12
345,17
345,13
346,12
346,17
347,26
347,17
348,12
348,17
348,23
349,17
350,13
350,30
351,26
351,13
351,23
352,26
352,17
352,35
353,17
353,13
354,22
355,26
355,17
356,13
356,19
357,26
358,13
358,14
358,19
359,19
360,39
361,17
361,20
362,3
362,27
363,13
363,15
364,26
364,15
364,19
365,25
365,10
366,13
366,14
366,15
367,16
367,2
367,8
368,1
368,15
369,2
369,8
370,16
370,5
370,7
371,6
371,3
371,34
372,13
372,14
372,15
373,26
373,15
374,26
374,17
374,15
375,17
375,15
375,20
376,17
376,20
377,31
378,26
378,15
379,1
380,8
381,5
381,6
381,27
382,5
382,2
382,18
383,3
383,34
384,26
384,15
385,19
386,5
386,2
386,10
387,25
388,17
388,13
388,15
389,41
389,10
390,13
390,15
390,19
391,42
391,6
391,3
392,2
392,6
392,3
393,26
393,13
394,12
394,30
395,13
395,14
395,15
396,17
396,15
397,26
397,22
397,15
398,2
398,9
398,10
399,22
399,15
399,19
400,6
400,27
401,31
401,41
402,2
402,18
402,6
403,13
403,20
404,7
405,1
406,12
407,12
408,12
409,12
410,12
411,12
412,12
413,12
414,12
415,12
416,12
417,12
418,12
419,12
420,12
420,30
421,12
422,12
423,12
424,12
425,12
426,3
427,13
428,17
428,15
429,29
429,12
429,15
430,13
430,15
430,19
431,16
431,2
431,8
432,2
432,8
432,9
433,12
434,17
434,13
434,14
435,42
435,5
435,2
436,5
436,2
436,9
437,13
437,15
437,20
438,26
439,13
439,15
439,20
440,13
440,15
440,19
441,7
441,33
442,22
442,38
443,25
443,10
444,17
444,15
445,7
446,13
446,14
446,19
447,13
448,13
448,20
449,13
449,20
450,13
450,20
451,13
451,20
452,26
452,13
452,20
453,17
453,13
453,15
454,31
454,2
455,17
455,35
456,1
456,15
456,21
457,2
457,9
457,10
458,1
458,15
458,30
459,13
459,15
459,20
460,10
460,3
460,34
461,12
461,17
461,30
462,17
462,13
462,14
463,1
464,22
464,15
465,26
465,17
466,5
466,7
467,8
468,1
468,15
469,17
469,13
469,15
470,13
470,14
471,40
472,12
472,13
472,15
473,25
474,1
474,30
475,26
475,17
476,39
477,17
477,1
477,15
478,10
478,3
478,34
479,2
479,3
479,27
480,22
481,17
481,13
481,15
482,26
482,13
482,15
483,7
484,13
484,15
484,20
485,39
486,19
487,12
487,17
487,23
488,2
488,9
488,18
489,9
489,3
490,17
490,15
491,5
491,7
491,2
492,17
492,13
492,20
493,13
493,20
494,31
494,11
494,24
495,17
495,21
496,1
496,15
497,26
497,15
498,7
499,13
499,15
500,7
501,26
501,15
502,13
502,15
503,13
503,15
503,20
504,5
504,2
504,3
505,2
505,18
505,10
506,13
506,15
507,15
507,20
508,17
508,15
509,13
509,15
510,25
511,2
511,3
511,4
512,41
512,10
513,25
514,6
514,3
514,27
515,16
515,2
515,10
516,16
516,2
516,10
517,2
517,3
517,4
518,2
518,9
518,10
519,13
519,15
520,16
520,5
520,7
521,10
522,2
522,10
523,25
523,32
523,10
524,16
524,5
524,2
525,2
525,3
526,25
527,10
527,3
528,25
529,13
529,15
529,20
530,13
530,15
531,25
531,10
532,13
532,15
533,5
533,11
533,4
534,2
534,3
535,13
535,15
536,25
536,10
537,7
537,2
537,33
538,2
538,8
539,16
539,2
539,3
540,25
540,6
540,27
541,16
541,25
542,17
542,13
542,15
543,13
543,15
544,5
544,2
544,6
545,2
545,10
546,25
546,32
547,2
547,9
547,3
548,25
549,9
549,3
550,2
550,8
551,22
551,38
552,15
552,20
552,19
553,17
553,15
554,5
554,2
554,3
555,13
555,15
555,19
556,26
556,35
556,15
557,22
557,15
557,19
558,22
558,23
559,26
560,26
561,1
561,30
562,26
562,17
563,17
564,26
564,17
564,23
565,17
565,13
565,14
566,2
566,25
566,4
567,26
567,17
568,26
568,19
569,12
569,17
570,13
570,15
570,20
571,26
571,15
572,2
572,9
572,10
573,17
573,13
573,15
574,12
574,17
575,12
575,17
576,17
576,13
576,20
577,13
577,37
577,15
578,2
578,10
579,13
579,20
580,26
580,28
580,17
581,26
581,29
581,15
582,26
582,23
583,17
583,13
584,17
584,20
585,17
586,13
586,20
587,22
588,2
588,10
588,3
589,25
590,13
590,15
591,31
591,25
592,13
592,20
593,17
593,20
594,12
594,17
595,26
595,23
596,12
596,17
597,17
597,13
597,14
598,26
598,17
598,30
599,13
599,19
600,13
601,19
602,26
602,12
602,28
603,26
603,12
603,13
604,12
604,13
605,13
606,26
607,13
607,15
608,22
608,19
609,26
610,26
610,20
611,26
611,22
611,23
612,26
612,22
612,23
613,26
613,22
613,23
614,13
614,15
614,19
615,13
615,20
615,23
616,13
616,21
616,20
617,13
618,2
618,9
618,3
619,26
619,17
620,13
620,15
621,8
622,31
622,5
622,2
623,19
624,17
624,13
624,15
625,13
625,15
625,19
626,5
626,2
626,18
627,16
627,5
627,7
628,31
628,2
628,34
629,25
630,13
630,15
631,13
632,31
632,2
633,17
633,15
634,13
634,14
634,15
635,1
635,15
636,13
636,15
637,26
638,2
638,3
638,4
639,9
639,3
640,31
640,2
641,2
641,3
642,1
642,30
643,2
643,3
644,22
645,17
645,20
646,1
646,15
647,17
647,15
647,21
648,2
648,8
649,8
649,9
650,13
650,15
650,20
651,13
651,15
652,17
652,13
652,15
653,17
653,13
653,15
654,7
654,2
655,17
655,13
655,15
656,17
656,13
656,15
657,15
657,21
657,20
658,8
658,6
658,4
659,2
659,9
659,3
660,2
660,9
660,3
661,6
661,3
661,27
662,2
662,10
662,3
663,10
664,2
664,3
665,25
666,5
666,2
666,3
667,2
667,9
667,10
668,10
668,3
668,34
669,5
669,3
670,5
670,2
670,18
671,26
671,29
671,15
672,26
672,29
672,15
673,26
673,29
673,15
674,2
674,8
674,18
675,3
676,2
676,8
676,9
677,5
677,3
677,4
678,10
679,5
679,3
679,24
680,5
680,2
680,3
681,7
682,16
682,7
683,2
683,10
684,13
684,15
685,5
685,2
685,18
686,13
687,2
687,32
